"lang","class","subject","question","option1","option2","option3","option4","answer","difficulty","topic"
"en","8","English","Choose the correct subject-verb agreement: Neither the teacher nor the students … aware.","is","are","was","were","are","medium","Grammar & Writing Skills"
"hi","8","English","सही कर्ता-क्रिया मेल चुनें: Neither the teacher nor the students … aware.","is","are","was","were","are","medium","Grammar & Writing Skills"
"mr","8","English","योग्य कर्ता-क्रियापद निवडा: Neither the teacher nor the students … aware.","is","are","was","were","are","medium","Grammar & Writing Skills"
"en","8","English","Which punctuation mark introduces a list?","Comma","Colon","Semicolon","Dash","Colon","medium","Grammar & Writing Skills"
"hi","8","English","कौन सा विराम चिह्न सूची प्रस्तुत करता है?","अल्पविराम","कोलन","अर्धविराम","डैश","कोलन","medium","Grammar & Writing Skills"
"mr","8","English","कोणते विरामचिन्ह यादी दाखवते?","स्वल्पविराम","कोलन","अर्धविराम","डॅश","कोलन","medium","Grammar & Writing Skills"
"en","8","English","Which is a compound word?","Sunlight","Blue","Happy","Fast","Sunlight","easy","Grammar & Writing Skills"
"hi","8","English","कौन सा संयुक्त शब्द है?","सूर्यप्रकाश","नीला","खुश","तेज़","सूर्यप्रकाश","easy","Grammar & Writing Skills"
"mr","8","English","कोणता संयुक्त शब्द आहे?","सूर्यप्रकाश","निळा","आनंदी","जलद","सूर्यप्रकाश","easy","Grammar & Writing Skills"
"en","8","English","Which merged word comes from smoke + fog?","Smog","Brunch","Motel","Sitcom","Smog","hard","Grammar & Writing Skills"
"hi","8","English","धुआँ + धुंध से कौन सा संयुक्त शब्द बना?","स्मॉग","ब्रंच","मोटेल","सिटकॉम","स्मॉग","hard","Grammar & Writing Skills"
"mr","8","English","धूर + धुके यापासून कोणता संयुक्त शब्द बनतो?","स्मॉग","ब्रंच","मोटेल","सिटकॉम","स्मॉग","hard","Grammar & Writing Skills"
"en","8","English","Which is correct indirect speech: “Where do you live?” she asked.","She asked where I lived","She asked where do I live","She asked where I live","She asked where I was live","She asked where I lived","hard","Grammar & Writing Skills"
"hi","8","English","“Where do you live?” का सही अप्रत्यक्ष वाक्य है?","उसने पूछा मैं कहाँ रहता था","उसने पूछा मैं कहाँ रहता हूँ","उसने पूछा मैं कहाँ रह रहा था","उसने पूछा मैं कहाँ रह रहा हूँ","उसने पूछा मैं कहाँ रहता था","hard","Grammar & Writing Skills"
"mr","8","English","“Where do you live?” चे योग्य अप्रत्यक्ष वाक्य कोणते?","तिने विचारले मी कुठे राहत होतो","तिने विचारले मी कुठे राहतो","तिने विचारले मी कुठे राहत आहे","तिने विचारले मी कुठे राहतो आहे","तिने विचारले मी कुठे राहत होतो","hard","Grammar & Writing Skills"
"en","8","English","Which format is correct for a report?","Heading","Date","Body","Conclusion","All of these","All of these","medium"
"hi","8","English","रिपोर्ट का सही प्रारूप क्या है?","शीर्षक","तारीख","मुख्य भाग","निष्कर्ष","सभी","सभी","medium"
"mr","8","English","अहवालाचा योग्य प्रारूप काय आहे?","शीर्षक","तारीख","मुख्य भाग","निष्कर्ष","सर्व","सर्व","medium"
"en","8","English","Which is correct article ending?","Word of hope","Word of caution","Call for action","All of these","All of these","hard","Grammar & Writing Skills"
"hi","8","English","लेख का सही समापन क्या है?","आशा का शब्द","चेतावनी का शब्द","कार्रवाई का आह्वान","सभी","सभी","hard","Grammar & Writing Skills"
"mr","8","English","लेखाचा योग्य शेवट काय आहे?","आशेचा शब्द","इशाऱ्याचा शब्द","कारवाईचे आवाहन","सर्व","सर्व","hard","Grammar & Writing Skills"
"en","8","English","Who was the witty poet in Krishnadeva Raya’s court?","Birbal","Tenali Rama","Kabir","Tagore","Tenali Rama","easy","Literature Revision"
"hi","8","English","कृष्णदेवराय के दरबार में बुद्धिमान कवि कौन था?","बीरबल","तेनाली राम","कबीर","टैगोर","तेनाली राम","easy","Literature Revision"
"mr","8","English","कृष्णदेवरायच्या दरबारातील विनोदी कवी कोण होता?","बीरबल","तेनाली राम","कबीर","टागोर","तेनाली राम","easy","Literature Revision"
"en","8","English","Who was India’s first Param Vir Chakra awardee?","Major Somnath Sharma","Field Marshal Manekshaw","Subhash Chandra Bose","General Cariappa","Major Somnath Sharma","easy","Literature Revision"
"hi","8","English","भारत के पहले परमवीर चक्र विजेता कौन थे?","मेजर सोमनाथ शर्मा","फील्ड मार्शल मानेकशॉ","सुभाष चंद्र बोस","जनरल करिअप्पा","मेजर सोमनाथ शर्मा","easy","Literature Revision"
"mr","8","English","भारताचा पहिला परमवीर चक्र विजेता कोण होता?","मेजर सोमनाथ शर्मा","फील्ड मार्शल मानेकशॉ","सुभाषचंद्र बोस","जनरल करिअप्पा","मेजर सोमनाथ शर्मा","easy","Literature Revision"
"en","8","English","What was hidden under the fifth word in Nolan’s code?","A fir tree","A palm tree","A diamond","A house","A fir tree","medium","Literature Revision"
"hi","8","English","नोलन के कोड के पाँचवें शब्द के नीचे क्या छिपा था?","फर का पेड़","पाम का पेड़","हीरा","घर","फर का पेड़","medium","Literature Revision"
"mr","8","English","नोलनच्या कोडच्या पाचव्या शब्दाखाली काय लपले होते?","फर झाड","पाम झाड","हिरा","घर","फर झाड","medium","Literature Revision"
"en","8","English","Who wrote “The Cherry Tree”?","Ruskin Bond","Sarojini Naidu","Kamakshi Balasubramanian","Verghese Kurien","Ruskin Bond","easy","Literature Revision"
"hi","8","English","“चेरी ट्री” किसने लिखी?","रस्किन बॉन्ड","सरोजिनी नायडू","कमाक्षी बालासुब्रमण्यम","वर्गीज़ कुरियन","रस्किन बॉन्ड","easy","Literature Revision"
"mr","8","English","“चेरी ट्री” कोणी लिहिली?","रस्किन बॉन्ड","सरोजिनी नायडू","कमाक्षी बालासुब्रमण्यम","वर्गीज कुरियन","रस्किन बॉन्ड","easy","Literature Revision"
"en","8","English","What value does “Somebody’s Mother” highlight?","Kindness","Greed","Anger","Pride","Kindness","medium","Literature Revision"
"hi","8","English","“समबडी’स मदर” कौन सा मूल्य दर्शाती है?","दयालुता","लोभ","क्रोध","अहंकार","दयालुता","medium","Literature Revision"
"mr","8","English","“समबडी’स मदर” कोणते मूल्य दाखवते?","दयाळूपणा","लोभ","राग","अहंकार","दयाळूपणा","medium","Literature Revision"
"en","8","English","What was the bird’s name in “Feathered Friend”?","Claribel","Polly","Sunny","Goldie","Claribel","easy","Literature Revision"
"hi","8","English","“फेदर्ड फ्रेंड” में पक्षी का नाम क्या था?","क्लैरिबेल","पॉली","सनी","गोल्डी","क्लैरिबेल","easy","Literature Revision"
"mr","8","English","“फेदर्ड फ्रेंड” मध्ये पक्ष्याचे नाव काय होते?","क्लॅरिबेल","पॉली","सनी","गोल्डी","क्लॅरिबेल","easy","Literature Revision"
"en","8","English","Which poem celebrates farmers’ hard work?","Harvest Hymn","Concrete Example","Magnifying Glass","Magic Brush","Harvest Hymn","medium","Literature Revision"
"hi","8","English","कौन सी कविता किसानों की मेहनत का उत्सव मनाती है?","हार्वेस्ट हाइम्न","कंक्रीट एग्ज़ाम्पल","मैग्निफाइंग ग्लास","मैजिक ब्रश","हार्वेस्ट हाइम्न","medium","Literature Revision"
"mr","8","English","कोणती कविता शेतकऱ्यांच्या कष्टांचा उत्सव करते?","हार्वेस्ट हाइम्न","कंक्रीट एग्जाम्पल","मॅग्निफाइंग ग्लास","मॅजिक ब्रश","हार्वेस्ट हाइम्न","medium","Literature Revision"
"en","8","English","Who was Bibha Chowdhuri?","Scientist","Poet","Farmer","Teacher","Scientist","easy","Literature Revision"
"hi","8","English","बिभा चौधुरी कौन थीं?","वैज्ञानिक","कवयित्री","किसान","शिक्षिका","वैज्ञानिक","easy","Literature Revision"
"mr","8","English","बिभा चौधुरी कोण होती?","शास्त्रज्ञ","कवयित्री","शेतकरी","शिक्षिका","शास्त्रज्ञ","easy","Literature Revision"
"en","8","English","Which tense is used in “He was reading a book”?","Past Progressive","Simple Past","Future Perfect","Present Continuous","Past Progressive","hard","Literature Revision"
"hi","8","English","“He was reading a book” में कौन सा काल है?","अपूर्ण भूतकाल","साधारण भूतकाल","पूर्ण भविष्यकाल","वर्तमान निरंतर","अपूर्ण भूतकाल","hard","Literature Revision"
"mr","8","English","“He was reading a book” यात कोणता काळ आहे?","अपूर्ण भूतकाळ","साधा भूतकाळ","पूर्ण भविष्यकाळ","वर्तमान चालू","अपूर्ण भूतकाळ","hard","Literature Revision"
"en","8","English","Which merged word comes from motor + hotel?","Motel","Smog","Brunch","Sitcom","Motel","hard","Literature Revision"
"hi","8","English","मोटर + होटल से कौन सा संयुक्त शब्द बना?","मोटेल","स्मॉग","ब्रंच","सिटकॉम","मोटेल","hard","Literature Revision"
"mr","8","English","मोटर + हॉटेल यापासून कोणता संयुक्त शब्द बनतो?","मोटेल","स्मॉग","ब्रंच","सिटकॉम","मोटेल","hard","Literature Revision"
"en","8","Math","Which locker numbers remain open in the puzzle?","Prime numbers","Odd numbers","Square numbers","Cube numbers","Square numbers","medium","A Square and A Cube"
"hi","8","Math","कौन से लॉकर अंत में खुले रहते हैं?","अभाज्य संख्याएँ","विषम संख्याएँ","वर्ग संख्याएँ","घन संख्याएँ","वर्ग संख्याएँ","medium","A Square and A Cube"
"mr","8","Math","कोणते लॉकर शेवटी उघडे राहतात?","अभाज्य संख्या","विषम संख्या","वर्ग संख्या","घन संख्या","वर्ग संख्या","medium","A Square and A Cube"
"en","8","Math","The square of 12 is:","124","144","132","112","144","easy","A Square and A Cube"
"hi","8","Math","12 का वर्ग है:","124","144","132","112","144","easy","A Square and A Cube"
"mr","8","Math","12 चा वर्ग किती आहे:","124","144","132","112","144","easy","A Square and A Cube"
"en","8","Math","Which digits can a perfect square end with?","2","3","7","8","0","1","4"
"hi","8","Math","किस अंक पर वर्ग संख्या समाप्त हो सकती है?","2","3","7","8","0","1","4"
"mr","8","Math","वर्ग संख्या कोणत्या अंकावर संपते?","2","3","7","8","0","1","4"
"en","8","Math","The sum of first n odd numbers equals:","n","2n","n²","n³","n²","medium","A Square and A Cube"
"hi","8","Math","पहली n विषम संख्याओं का योग होता है:","n","2n","n²","n³","n²","medium","A Square and A Cube"
"mr","8","Math","पहिल्या n विषम संख्यांचा बेरिज किती?","n","2n","n²","n³","n²","medium","A Square and A Cube"
"en","8","Math","Square root of 324 is:","16","17","18","19","18","easy","A Square and A Cube"
"hi","8","Math","324 का वर्गमूल है:","16","17","18","19","18","easy","A Square and A Cube"
"mr","8","Math","324 चे वर्गमूळ किती आहे:","16","17","18","19","18","easy","A Square and A Cube"
"en","8","Math","Which number is NOT a perfect square?","121","144","156","169","156","medium","A Square and A Cube"
"hi","8","Math","कौन सी संख्या पूर्ण वर्ग नहीं है?","121","144","156","169","156","medium","A Square and A Cube"
"mr","8","Math","कोणती संख्या परिपूर्ण वर्ग नाही?","121","144","156","169","156","medium","A Square and A Cube"
"en","8","Math","The cube of 5 is:","25","75","125","225","125","easy","A Square and A Cube"
"hi","8","Math","5 का घन है:","25","75","125","225","125","easy","A Square and A Cube"
"mr","8","Math","5 चा घन किती आहे:","25","75","125","225","125","easy","A Square and A Cube"
"en","8","Math","Which number is known as Hardy–Ramanujan number?","1729","1331","3375","2197","1729","hard","A Square and A Cube"
"hi","8","Math","हार्डी–रामानुजन संख्या कौन सी है?","1729","1331","3375","2197","1729","hard","A Square and A Cube"
"mr","8","Math","हार्डी–रामानुजन संख्या कोणती?","1729","1331","3375","2197","1729","hard","A Square and A Cube"
"en","8","Math","Which of these is a cube number?","9","27","36","81","27","easy","A Square and A Cube"
"hi","8","Math","इनमें से कौन सी संख्या घन है?","9","27","36","81","27","easy","A Square and A Cube"
"mr","8","Math","यापैकी कोणती संख्या घन आहे?","9","27","36","81","27","easy","A Square and A Cube"
"en","8","Math","Prime factorisation of 3375 shows it is a cube of:","12","15","18","20","15","medium","A Square and A Cube"
"hi","8","Math","3375 का अभाज्य गुणनखंड दिखाता है कि यह किसका घन है?","12","15","18","20","15","medium","A Square and A Cube"
"mr","8","Math","3375 चे अभाज्य गुणनखंड दाखवतात की ते कोणाचा घन आहे?","12","15","18","20","15","medium","A Square and A Cube"
"en","8","Math","Which of these numbers is NOT a cube?","64","125","500","729","500","medium","A Square and A Cube"
"hi","8","Math","इनमें से कौन सी संख्या घन नहीं है?","64","125","500","729","500","medium","A Square and A Cube"
"mr","8","Math","यापैकी कोणती संख्या घन नाही?","64","125","500","729","500","medium","A Square and A Cube"
"en","8","Math","Successive differences of perfect squares give:","Even numbers","Odd numbers","Prime numbers","Multiples of 4","Odd numbers","medium","A Square and A Cube"
"hi","8","Math","पूर्ण वर्गों के क्रमिक अंतर देते हैं:","सम संख्याएँ","विषम संख्याएँ","अभाज्य संख्याएँ","4 के गुणज","विषम संख्याएँ","medium","A Square and A Cube"
"mr","8","Math","पूर्ण वर्गांचे अनुक्रमिक फरक काय देतात?","सम संख्या","विषम संख्या","अभाज्य संख्या","4 चे गुणज","विषम संख्या","medium","A Square and A Cube"
"en","8","Math","The cube root of 729 is:","7","8","9","10","9","easy","A Square and A Cube"
"hi","8","Math","729 का घनमूल है:","7","8","9","10","9","easy","A Square and A Cube"
"mr","8","Math","729 चे घनमूळ किती आहे:","7","8","9","10","9","easy","A Square and A Cube"
"en","8","Math","Which ancient civilisation compiled lists of squares and cubes?","Mesopotamia","Babylonia","Egypt","Rome","Babylonia","hard","A Square and A Cube"
"hi","8","Math","किस प्राचीन सभ्यता ने वर्ग और घन की सूचियाँ बनाई थीं?","मेसोपोटामिया","बैबिलोनिया","मिस्र","रोम","बैबिलोनिया","hard","A Square and A Cube"
"mr","8","Math","कोणत्या प्राचीन संस्कृतीने वर्ग व घन यादी तयार केली?","मेसोपोटामिया","बॅबिलोनिया","इजिप्त","रोम","बॅबिलोनिया","hard","A Square and A Cube"
"en","8","Math","What happens to paper thickness after each fold?","It halves","It doubles","It triples","It stays same","It doubles","easy","Power Play"
"hi","8","Math","कागज़ को हर बार मोड़ने पर मोटाई क्या होती है?","आधी होती है","दोगुनी होती है","तीन गुनी होती है","जैसी रहती है","दोगुनी होती है","easy","Power Play"
"mr","8","Math","कागद दुमडल्यावर जाडी कशी होते?","अर्धी होते","दुप्पट होते","तिप्पट होते","तशीच राहते","दुप्पट होते","easy","Power Play"
"en","8","Math","After 30 folds","paper thickness is about:","1 km","10.7 km","100 km","700 km","10.7 km","medium"
"hi","8","Math","30 बार मोड़ने पर कागज़ की मोटाई लगभग कितनी होती है?","1 किमी","10.7 किमी","100 किमी","700 किमी","10.7 किमी","medium","Power Play"
"mr","8","Math","30 वेळा दुमडल्यावर कागदाची जाडी किती होते?","1 किमी","10.7 किमी","100 किमी","700 किमी","10.7 किमी","medium","Power Play"
"en","8","Math","Which notation is used for repeated multiplication?","Factorial","Exponential","Logarithmic","Polynomial","Exponential","easy","Power Play"
"hi","8","Math","बार-बार गुणा करने के लिए कौन सा संकेत प्रयोग होता है?","फैक्टोरियल","घातांक","लघुगणक","बहुपद","घातांक","easy","Power Play"
"mr","8","Math","वारंवार गुणाकारासाठी कोणते चिन्ह वापरतात?","फॅक्टोरियल","घातांक","लघुगणक","बहुपद","घातांक","easy","Power Play"
"en","8","Math","Value of 2^10 is:","100","512","1024","2048","1024","easy","Power Play"
"hi","8","Math","2^10 का मान है:","100","512","1024","2048","1024","easy","Power Play"
"mr","8","Math","2^10 चे मूल्य किती आहे?","100","512","1024","2048","1024","easy","Power Play"
"en","8","Math","Which is the base in 5^4?","4","5","20","625","5","easy","Power Play"
"hi","8","Math","5^4 में आधार (base) कौन है?","4","5","20","625","5","easy","Power Play"
"mr","8","Math","5^4 मध्ये आधार कोणता आहे?","4","5","20","625","5","easy","Power Play"
"en","8","Math","Scientific notation expresses numbers as:","x × 10^n","10^n + x","x ÷ 10^n","n ÷ x","x × 10^n","medium","Power Play"
"hi","8","Math","वैज्ञानिक संकेतन में संख्याएँ कैसे लिखी जाती हैं?","x × 10^n","10^n + x","x ÷ 10^n","n ÷ x","x × 10^n","medium","Power Play"
"mr","8","Math","वैज्ञानिक संकेतनात संख्या कशा लिहितात?","x × 10^n","10^n + x","x ÷ 10^n","n ÷ x","x × 10^n","medium","Power Play"
"en","8","Math","Which is smaller: 1.496×10^11 or 1.4335×10^12?","First","Second","Both equal","Cannot say","First","easy","Power Play"
"hi","8","Math","कौन सा छोटा है: 1.496×10^11 या 1.4335×10^12?","पहला","दूसरा","दोनों बराबर","नहीं कह सकते","पहला","easy","Power Play"
"mr","8","Math","कोणते लहान आहे: 1.496×10^11 की 1.4335×10^12?","पहिले","दुसरे","दोन्ही समान","सांगता येत नाही","पहिले","easy","Power Play"
"en","8","Math","Value of (-1)^5 is:","1","-1","0","5","-1","easy","Power Play"
"hi","8","Math","(-1)^5 का मान है:","1","-1","0","5","-1","easy","Power Play"
"mr","8","Math","(-1)^5 चे मूल्य किती आहे?","1","-1","0","5","-1","easy","Power Play"
"en","8","Math","What is 2^0 defined as?","0","1","2","Undefined","1","medium","Power Play"
"hi","8","Math","2^0 को परिभाषित किया गया है:","0","1","2","अपरिभाषित","1","medium","Power Play"
"mr","8","Math","2^0 चे मूल्य किती आहे?","0","1","2","अपरिभाषित","1","medium","Power Play"
"en","8","Math","Which growth is multiplicative?","Linear","Exponential","Arithmetic","Geometric","Exponential","medium","Power Play"
"hi","8","Math","कौन सा वृद्धि गुणात्मक होती है?","रेखीय","घातीय","अंकगणितीय","ज्यामितीय","घातीय","medium","Power Play"
"mr","8","Math","कोणती वाढ गुणाकार स्वरूपात होते?","रेषीय","घातांकीय","अंकगणितीय","भूमितीय","घातांकीय","medium","Power Play"
"en","8","Math","How many 5-digit passwords possible?","1000","10000","100000","1000000","100000","hard","Power Play"
"hi","8","Math","5 अंकों के पासवर्ड कितने संभव हैं?","1000","10000","100000","1000000","100000","hard","Power Play"
"mr","8","Math","5 अंकांचे पासवर्ड किती शक्य आहेत?","1000","10000","100000","1000000","100000","hard","Power Play"
"en","8","Math","Which identity shows (a+b)(a-b)?","a^2+b^2","a^2-b^2","a^2+2ab","a^2-2ab","a^2-b^2","medium","Power Play"
"hi","8","Math","(a+b)(a-b) कौन सी पहचान दिखाता है?","a^2+b^2","a^2-b^2","a^2+2ab","a^2-2ab","a^2-b^2","medium","Power Play"
"mr","8","Math","(a+b)(a-b) कोणती ओळख दाखवते?","a^2+b^2","a^2-b^2","a^2+2ab","a^2-2ab","a^2-b^2","medium","Power Play"
"en","8","Math","Value of 94×11 using shortcut is:","1034","1035","1036","1037","1034","medium","Power Play"
"hi","8","Math","94×11 का मान शॉर्टकट से है:","1034","1035","1036","1037","1034","medium","Power Play"
"mr","8","Math","94×11 चे मूल्य शॉर्टकटने किती?","1034","1035","1036","1037","1034","medium","Power Play"
"en","8","Math","Which mathematician explained fast multiplication using distributive law?","Euclid","Brahmagupta","Fibonacci","Newton","Brahmagupta","hard","Power Play"
"hi","8","Math","किस गणितज्ञ ने वितरण नियम से तेज गुणा समझाया?","यूक्लिड","ब्राह्मगुप्त","फिबोनाची","न्यूटन","ब्राह्मगुप्त","hard","Power Play"
"mr","8","Math","वितरण नियमाने जलद गुणाकार कोणी सांगितला?","यूक्लिड","ब्राह्मगुप्त","फिबोनाची","न्यूटन","ब्राह्मगुप्त","hard","Power Play"
"en","8","Math","Which number system uses only digits 0 and 1?","Decimal","Binary","Octal","Hexadecimal","Binary","easy","A Story of Numbers"
"hi","8","Math","कौन सा संख्या पद्धति केवल 0 और 1 का उपयोग करती है?","दशमलव","बाइनरी","ऑक्टल","हेक्साडेसिमल","बाइनरी","easy","A Story of Numbers"
"mr","8","Math","कोणती संख्या पद्धती फक्त 0 आणि 1 वापरते?","दशांश","बायनरी","ऑक्टल","हेक्साडेसिमल","बायनरी","easy","A Story of Numbers"
"en","8","Math","The decimal system is based on:","Base 2","Base 8","Base 10","Base 16","Base 10","easy","A Story of Numbers"
"hi","8","Math","दशमलव प्रणाली किस आधार पर है?","आधार 2","आधार 8","आधार 10","आधार 16","आधार 10","easy","A Story of Numbers"
"mr","8","Math","दशांश प्रणाली कोणत्या आधारावर आहे?","आधार 2","आधार 8","आधार 10","आधार 16","आधार 10","easy","A Story of Numbers"
"en","8","Math","Which civilisation used Roman numerals?","Greek","Roman","Indian","Chinese","Roman","easy","A Story of Numbers"
"hi","8","Math","किस सभ्यता ने रोमन अंक प्रयोग किए?","यूनानी","रोमन","भारतीय","चीनी","रोमन","easy","A Story of Numbers"
"mr","8","Math","कोणत्या संस्कृतीने रोमन अंक वापरले?","ग्रीक","रोमन","भारतीय","चिनी","रोमन","easy","A Story of Numbers"
"en","8","Math","Which numeral system introduced zero?","Greek","Roman","Indian","Chinese","Indian","medium","A Story of Numbers"
"hi","8","Math","किस संख्या प्रणाली ने शून्य का परिचय कराया?","यूनानी","रोमन","भारतीय","चीनी","भारतीय","medium","A Story of Numbers"
"mr","8","Math","कोणत्या संख्या पद्धतीने शून्य आणले?","ग्रीक","रोमन","भारतीय","चिनी","भारतीय","medium","A Story of Numbers"
"en","8","Math","Which mathematician spread Indian numerals to Europe?","Euclid","Al-Khwarizmi","Fibonacci","Newton","Fibonacci","hard","A Story of Numbers"
"hi","8","Math","किस गणितज्ञ ने भारतीय अंक यूरोप में फैलाए?","यूक्लिड","अल-ख्वारिज़्मी","फिबोनाची","न्यूटन","फिबोनाची","hard","A Story of Numbers"
"mr","8","Math","भारतीय अंक युरोपात कोणी पसरवले?","यूक्लिड","अल-ख्वारिज्मी","फिबोनाची","न्यूटन","फिबोनाची","hard","A Story of Numbers"
"en","8","Math","Which is the smallest prime number?","0","1","2","3","2","easy","A Story of Numbers"
"hi","8","Math","सबसे छोटी अभाज्य संख्या कौन सी है?","0","1","2","3","2","easy","A Story of Numbers"
"mr","8","Math","सर्वात लहान अभाज्य संख्या कोणती?","0","1","2","3","2","easy","A Story of Numbers"
"en","8","Math","Which base system is used in computers?","Decimal","Binary","Octal","Hexadecimal","Binary","medium","A Story of Numbers"
"hi","8","Math","कंप्यूटर में कौन सा आधार प्रणाली प्रयोग होती है?","दशमलव","बाइनरी","ऑक्टल","हेक्साडेसिमल","बाइनरी","medium","A Story of Numbers"
"mr","8","Math","संगणकात कोणती आधार प्रणाली वापरतात?","दशांश","बायनरी","ऑक्टल","हेक्साडेसिमल","बायनरी","medium","A Story of Numbers"
"en","8","Math","Which number is neither prime nor composite?","0","1","2","3","1","medium","A Story of Numbers"
"hi","8","Math","कौन सी संख्या न अभाज्य है न संयोज्य?","0","1","2","3","1","medium","A Story of Numbers"
"mr","8","Math","कोणती संख्या ना अभाज्य ना संयोज्य आहे?","0","1","2","3","1","medium","A Story of Numbers"
"en","8","Math","Which numeral system uses symbols I","V","X","L","C","D","M?","Roman"
"hi","8","Math","कौन सी संख्या प्रणाली I","V","X","L","C","D","M का प्रयोग करती है?","रोमन"
"mr","8","Math","कोणती संख्या पद्धती I","V","X","L","C","D","M वापरते?","रोमन"
"en","8","Math","Which base is used in hexadecimal system?","8","10","12","16","16","medium","A Story of Numbers"
"hi","8","Math","हेक्साडेसिमल प्रणाली किस आधार पर है?","8","10","12","16","16","medium","A Story of Numbers"
"mr","8","Math","हेक्साडेसिमल प्रणाली कोणत्या आधारावर आहे?","8","10","12","16","16","medium","A Story of Numbers"
"en","8","Math","Which Indian mathematician is credited with zero?","Aryabhata","Brahmagupta","Ramanujan","Euclid","Brahmagupta","hard","A Story of Numbers"
"hi","8","Math","शून्य का श्रेय किस भारतीय गणितज्ञ को जाता है?","आर्यभट","ब्राह्मगुप्त","रामानुजन","यूक्लिड","ब्राह्मगुप्त","hard","A Story of Numbers"
"mr","8","Math","शून्याचे श्रेय कोणत्या भारतीय गणितज्ञाला?","आर्यभट","ब्राह्मगुप्त","रामानुजन","यूक्लिड","ब्राह्मगुप्त","hard","A Story of Numbers"
"en","8","Math","Which number system is positional?","Roman","Greek","Indian","Chinese","Indian","medium","A Story of Numbers"
"hi","8","Math","कौन सी संख्या प्रणाली स्थानिक है?","रोमन","यूनानी","भारतीय","चीनी","भारतीय","medium","A Story of Numbers"
"mr","8","Math","कोणती संख्या पद्धती स्थानिक आहे?","रोमन","ग्रीक","भारतीय","चिनी","भारतीय","medium","A Story of Numbers"
"en","8","Math","Which base system is octal?","Base 2","Base 8","Base 10","Base 16","Base 8","easy","A Story of Numbers"
"hi","8","Math","ऑक्टल प्रणाली किस आधार पर है?","आधार 2","आधार 8","आधार 10","आधार 16","आधार 8","easy","A Story of Numbers"
"mr","8","Math","ऑक्टल प्रणाली कोणत्या आधारावर आहे?","आधार 2","आधार 8","आधार 10","आधार 16","आधार 8","easy","A Story of Numbers"
"en","8","Math","Which number system is used in digital watches?","Decimal","Binary","Octal","Hexadecimal","Hexadecimal","medium","A Story of Numbers"
"hi","8","Math","डिजिटल घड़ियों में कौन सी संख्या प्रणाली प्रयोग होती है?","दशमलव","बाइनरी","ऑक्टल","हेक्साडेसिमल","हेक्साडेसिमल","medium","A Story of Numbers"
"mr","8","Math","डिजिटल घड्याळात कोणती संख्या पद्धती वापरतात?","दशांश","बायनरी","ऑक्टल","हेक्साडेसिमल","हेक्साडेसिमल","medium","A Story of Numbers"
"en","8","Math","Which divisibility rule checks last digit?","Divisible by 2","Divisible by 3","Divisible by 5","Divisible by 9","Divisible by 2","easy","Playing with Numbers"
"hi","8","Math","कौन सा विभाज्यता नियम अंतिम अंक देखता है?","2 से विभाज्य","3 से विभाज्य","5 से विभाज्य","9 से विभाज्य","2 से विभाज्य","easy","Playing with Numbers"
"mr","8","Math","कोणता विभाज्यता नियम शेवटचा अंक पाहतो?","2 ने भाग जाणारा","3 ने भाग जाणारा","5 ने भाग जाणारा","9 ने भाग जाणारा","2 ने भाग जाणारा","easy","Playing with Numbers"
"en","8","Math","Number divisible by 5 ends with:","0","2","5","7","0 or 5","easy","Playing with Numbers"
"hi","8","Math","5 से विभाज्य संख्या किस पर समाप्त होती है?","0","2","5","7","0 या 5","easy","Playing with Numbers"
"mr","8","Math","5 ने भाग जाणारी संख्या कोणत्या अंकावर संपते?","0","2","5","7","0 किंवा 5","easy","Playing with Numbers"
"en","8","Math","Sum of digits divisible by 3 means number divisible by:","2","3","5","9","3","medium","Playing with Numbers"
"hi","8","Math","अंकों का योग 3 से विभाज्य हो तो संख्या किससे विभाज्य है?","2","3","5","9","3","medium","Playing with Numbers"
"mr","8","Math","अंकी बेरीज 3 ने भाग जाणारी असल्यास संख्या कोणत्या ने भाग जाते?","2","3","5","9","3","medium","Playing with Numbers"
"en","8","Math","Which number divisible by 9?","234","243","245","251","243","medium","Playing with Numbers"
"hi","8","Math","कौन सी संख्या 9 से विभाज्य है?","234","243","245","251","243","medium","Playing with Numbers"
"mr","8","Math","कोणती संख्या 9 ने भाग जाते?","234","243","245","251","243","medium","Playing with Numbers"
"en","8","Math","If number divisible by 2 and 3","it is divisible by:","4","5","6","12","6","medium"
"hi","8","Math","यदि संख्या 2 और 3 से विभाज्य है तो वह किससे विभाज्य है?","4","5","6","12","6","medium","Playing with Numbers"
"mr","8","Math","संख्या 2 आणि 3 ने भाग जाणारी असल्यास ती कोणत्या ने भाग जाते?","4","5","6","12","6","medium","Playing with Numbers"
"en","8","Math","Which number divisible by 11?","121","123","132","143","121","easy","Playing with Numbers"
"hi","8","Math","कौन सी संख्या 11 से विभाज्य है?","121","123","132","143","121","easy","Playing with Numbers"
"mr","8","Math","कोणती संख्या 11 ने भाग जाते?","121","123","132","143","121","easy","Playing with Numbers"
"en","8","Math","LCM of 12 and 18 is:","24","36","48","54","36","medium","Playing with Numbers"
"hi","8","Math","12 और 18 का लघुत्तम समापवर्त्य है:","24","36","48","54","36","medium","Playing with Numbers"
"mr","8","Math","12 आणि 18 चे लघुत्तम समापवर्त्य किती आहे?","24","36","48","54","36","medium","Playing with Numbers"
"en","8","Math","HCF of 24 and 36 is:","6","8","12","18","12","medium","Playing with Numbers"
